terms,title,abstract,abstract_len,title_len
"['cs.CV', 'cs.LG', 'eess.IV']",D-SRGAN: DEM Super-Resolution with Generative Adversarial Networks,"LIDAR (light detection and ranging) is an optical remote-sensing technique
that measures the distance between sensor and object, and the reflected energy
from the object. Over the years, LIDAR data has been used as the primary source
of Digital Elevation Models (DEMs). DEMs have been used in a variety of
applications like road extraction, hydrological modeling, flood mapping, and
surface analysis. A number of studies in flooding suggest the usage of
high-resolution DEMs as inputs in the applications improve the overall
reliability and accuracy. Despite the importance of high-resolution DEM, many
areas in the United States and the world do not have access to high-resolution
DEM due to technological limitations or the cost of the data collection. With
recent development in Graphical Processing Units (GPU) and novel algorithms,
deep learning techniques have become attractive to researchers for their
performance in learning features from high-resolution datasets. Numerous new
methods have been proposed such as Generative Adversarial Networks (GANs) to
create intelligent models that correct and augment large-scale datasets. In
this paper, a GAN based model is developed and evaluated, inspired by single
image super-resolution methods, to increase the spatial resolution of a given
DEM dataset up to 4 times without additional information related to data.",1368,66
"['cs.LG', 'stat.ML']",One-dimensional Deep Image Prior for Time Series Inverse Problems,"We extend the Deep Image Prior (DIP) framework to one-dimensional signals.
DIP is using a randomly initialized convolutional neural network (CNN) to solve
linear inverse problems by optimizing over weights to fit the observed
measurements. Our main finding is that properly tuned one-dimensional
convolutional architectures provide an excellent Deep Image Prior for various
types of temporal signals including audio, biological signals, and sensor
measurements. We show that our network can be used in a variety of recovery
tasks including missing value imputation, blind denoising, and compressed
sensing from random Gaussian projections. The key challenge is how to avoid
overfitting by carefully tuning early stopping, total variation, and weight
decay regularization. Our method requires up to 4 times fewer measurements than
Lasso and outperforms NLM-VAMP for random Gaussian measurements on audio
signals, has similar imputation performance to a Kalman state-space model on a
variety of data, and outperforms wavelet filtering in removing additive noise
from air-quality sensor readings.",1093,65
"['cs.LG', 'cs.CL', 'stat.ML']",What Do You Mean I'm Funny? Personalizing the Joke Skill of a Voice-Controlled Virtual Assistant,"A considerable part of the success experienced by Voice-controlled virtual
assistants (VVA) is due to the emotional and personalized experience they
deliver, with humor being a key component in providing an engaging interaction.
In this paper we describe methods used to improve the joke skill of a VVA
through personalization. The first method, based on traditional NLP techniques,
is robust and scalable. The others combine self-attentional network and
multi-task learning to obtain better results, at the cost of added complexity.
A significant challenge facing these systems is the lack of explicit user
feedback needed to provide labels for the models. Instead, we explore the use
of two implicit feedback-based labelling strategies. All models were evaluated
on real production data. Online results show that models trained on any of the
considered labels outperform a heuristic method, presenting a positive
real-world impact on user satisfaction. Offline results suggest that the
deep-learning approaches can improve the joke experience with respect to the
other considered methods.",1090,96
"['cs.CV', 'cs.AI', 'cs.CL', 'cs.LG']",Answering Questions about Data Visualizations using Efficient Bimodal Fusion,"Chart question answering (CQA) is a newly proposed visual question answering
(VQA) task where an algorithm must answer questions about data visualizations,
e.g. bar charts, pie charts, and line graphs. CQA requires capabilities that
natural-image VQA algorithms lack: fine-grained measurements, optical character
recognition, and handling out-of-vocabulary words in both questions and
answers. Without modifications, state-of-the-art VQA algorithms perform poorly
on this task. Here, we propose a novel CQA algorithm called parallel recurrent
fusion of image and language (PReFIL). PReFIL first learns bimodal embeddings
by fusing question and image features and then intelligently aggregates these
learned embeddings to answer the given question. Despite its simplicity, PReFIL
greatly surpasses state-of-the art systems and human baselines on both the
FigureQA and DVQA datasets. Additionally, we demonstrate that PReFIL can be
used to reconstruct tables by asking a series of questions about a chart.",1003,76
['cs.LG'],Unsupervised Doppler Radar-Based Activity Recognition for e-healthcare,"Passive radio frequency (RF) sensing and monitoring of human daily activities
in elderly care homes has recently become an emerging topic due to the demand
with ageing population. Micro-Doppler radars are an appealing solution
considering their non-intrusiveness, deep penetration, and high-distance range.
This study presents an unsupervised framework for human activity monitoring
using Doppler streams. Two unsupervised feature extraction strategies based on
convolutional filtering and texture analysis of Doppler images are considered.
For the former, encoded features using Convolutional Variational Autoencoder
(CVAE) are compared with Convolutional Autoencoder (CAE) features. For the
latter, Grey-Level Co-occurrence Matrix (GLCM) is used. These methods are
further compared with unsupervised linear feature extraction based on Principal
Component Analysis (PCA) and Singular Value Decomposition (SVD). Using these
features, unsupervised samples clustering is performed using K-Means and
K-Medoids. Actual labels are solely used for evaluation and visualisation. The
results showcase 82.5% and 84% average testing accuracies for CVAE features and
77.5% and 72.5% average testing accuracy using texture features based on GLCM
using K-Means and K-Medoids respectively. The results show superiority of CVAE
and GLCM features compared to PCA, SVD, and CAE with more than 20% average
accuracy. Furthermore, for high-dimensional data visualisation, three manifold
learning techniques are considered including t-Distributed Stochastic Neighbour
Embedding (t-SNE), Multidimensional Scaling (MDS), and Locally Linear Embedding
(LLE). The visualisation methods are compared for projection of raw data as
well as the encoded features using CVAE. All three methods show an improved
visualisation ability when applied on the transformed CVAE data.",1843,70
"['cs.LG', 'stat.ML']",Efficient Decision Trees for Multi-class Support Vector Machines Using Entropy and Generalization Error Estimation,"We propose new methods for Support Vector Machines (SVMs) using tree
architecture for multi-class classi- fication. In each node of the tree, we
select an appropriate binary classifier using entropy and generalization error
estimation, then group the examples into positive and negative classes based on
the selected classi- fier and train a new classifier for use in the
classification phase. The proposed methods can work in time complexity between
O(log2N) to O(N) where N is the number of classes. We compared the performance
of our proposed methods to the traditional techniques on the UCI machine
learning repository using 10-fold cross-validation. The experimental results
show that our proposed methods are very useful for the problems that need fast
classification time or problems with a large number of classes as the proposed
methods run much faster than the traditional techniques but still provide
comparable accuracy.",932,114
['cs.CV'],Implicit Mesh Reconstruction from Unannotated Image Collections,"We present an approach to infer the 3D shape, texture, and camera pose for an
object from a single RGB image, using only category-level image collections
with foreground masks as supervision. We represent the shape as an
image-conditioned implicit function that transforms the surface of a sphere to
that of the predicted mesh, while additionally predicting the corresponding
texture. To derive supervisory signal for learning, we enforce that: a) our
predictions when rendered should explain the available image evidence, and b)
the inferred 3D structure should be geometrically consistent with learned pixel
to surface mappings. We empirically show that our approach improves over prior
work that leverages similar supervision, and in fact performs competitively to
methods that use stronger supervision. Finally, as our method enables learning
with limited supervision, we qualitatively demonstrate its applicability over a
set of about 30 object categories.",961,63
"['cs.CV', 'cs.CL']",Learning Visual-Semantic Embeddings for Reporting Abnormal Findings on Chest X-rays,"Automatic medical image report generation has drawn growing attention due to
its potential to alleviate radiologists' workload. Existing work on report
generation often trains encoder-decoder networks to generate complete reports.
However, such models are affected by data bias (e.g.~label imbalance) and face
common issues inherent in text generation models (e.g.~repetition). In this
work, we focus on reporting abnormal findings on radiology images; instead of
training on complete radiology reports, we propose a method to identify
abnormal findings from the reports in addition to grouping them with
unsupervised clustering and minimal rules. We formulate the task as cross-modal
retrieval and propose Conditional Visual-Semantic Embeddings to align images
and fine-grained abnormal findings in a joint embedding space. We demonstrate
that our method is able to retrieve abnormal findings and outperforms existing
generation models on both clinical correctness and text generation metrics.",994,83
"['cs.LG', 'stat.ML']",RL Unplugged: A Suite of Benchmarks for Offline Reinforcement Learning,"Offline methods for reinforcement learning have a potential to help bridge
the gap between reinforcement learning research and real-world applications.
They make it possible to learn policies from offline datasets, thus overcoming
concerns associated with online data collection in the real-world, including
cost, safety, or ethical concerns. In this paper, we propose a benchmark called
RL Unplugged to evaluate and compare offline RL methods. RL Unplugged includes
data from a diverse range of domains including games (e.g., Atari benchmark)
and simulated motor control problems (e.g., DM Control Suite). The datasets
include domains that are partially or fully observable, use continuous or
discrete actions, and have stochastic vs. deterministic dynamics. We propose
detailed evaluation protocols for each domain in RL Unplugged and provide an
extensive analysis of supervised learning and offline RL methods using these
protocols. We will release data for all our tasks and open-source all
algorithms presented in this paper. We hope that our suite of benchmarks will
increase the reproducibility of experiments and make it possible to study
challenging tasks with a limited computational budget, thus making RL research
both more systematic and more accessible across the community. Moving forward,
we view RL Unplugged as a living benchmark suite that will evolve and grow with
datasets contributed by the research community and ourselves. Our project page
is available on https://git.io/JJUhd.",1501,70
"['cs.LG', 'cs.AI', 'stat.ML']",Decoupling Dynamics and Reward for Transfer Learning,"Current reinforcement learning (RL) methods can successfully learn single
tasks but often generalize poorly to modest perturbations in task domain or
training procedure. In this work, we present a decoupled learning strategy for
RL that creates a shared representation space where knowledge can be robustly
transferred. We separate learning the task representation, the forward
dynamics, the inverse dynamics and the reward function of the domain, and show
that this decoupling improves performance within the task, transfers well to
changes in dynamics and reward, and can be effectively used for online
planning. Empirical results show good performance in both continuous and
discrete RL domains.",698,52
